Trace,Search,Category,State,Event start,End,baseline pa,peak amp,time to peak,time of peak,antipeak a,time to antipeak,time of antipeak,half width,half amplitude,time to rise,time to decay,rise tau,decay tau,max rise slope,time to max rise slope,max decay,time to max decay slope,rise slope 10% to 90%,decay slope 90% to 10%,decay time,area pH,area pA,instant freq,interevent interval,sd of fit,template
2,1,1,A,3826.800049,3828.199219,1.991999984,-40.44414902,0.600585938,3827.400635,-3.82305479,0,3826.800049,Not found,-20.22207451,0.205960393,Not found,0.491709292,1.391905665,-91.91176605,0.25,24.50980377,0.149414063,-81.16929626,0.420154989,Not found,Not found,-40.42617798,7.911355495,126.400589,N/A,N/A
2,1,1,A,3858.200195,3860.000977,1.991999984,-55.09258652,0.599609375,3858.799805,-4.433406353,0,3858.200195,1.428507566,-27.54629326,0.199563786,1.628071308,0.442583799,4.019804478,-127.4271851,0.149902344,36.76470566,0.450195313,-113.03405,0.413900793,Not found,Not found,-68.49065399,31.84792137,31.39922333,N/A,N/A
2,1,1,A,3905.599609,3907.099609,1.991999984,-34.95098495,0.5,3906.099609,-23.96465683,0,3905.599609,Not found,-17.47549248,Not found,Not found,2.564554691,0.318239838,-30.3398056,0.250488281,18.38235283,0.850585938,Not found,Not found,Not found,Not found,-46.50475693,21.14178658,47.29969025,N/A,N/A
2,1,1,A,4020,4021.800781,1.991999984,-54.48223495,0.700195313,4020.700195,-11.14727306,0,4020,1.449740052,-27.24111748,0.202814713,1.65255475,0.643974781,1.619350672,-85.78431702,0.25,36.76470566,0.349609375,Not found,Not found,Not found,Not found,-69.70777893,8.725950241,114.6006927,N/A,N/A
2,1,1,A,4291.299805,4293.000977,1.991999984,-32.5095787,0.5,4291.799805,-11.75762463,0,4291.299805,Not found,-16.25478935,Not found,Not found,0.284340411,3.808479786,-67.40196228,0.150390625,12.25490189,0.150390625,Not found,Not found,Not found,Not found,-46.62654114,3.688678503,271.0997925,N/A,N/A
2,1,1,A,4330.5,4332.199219,1.991999984,-45.93731308,0.700195313,4331.200195,-12.97832775,0,4330.5,Not found,-22.96865654,0.125670061,Not found,0.381180972,1.465781569,-79.65686035,0.049804688,30.63725471,0.549804688,Not found,Not found,Not found,Not found,-59.58010101,25.38058472,39.40019608,N/A,N/A
3,1,1,A,130.8000031,132.3996124,1.991999984,-45.93731308,0.600585938,131.400589,-12.97832775,0,130.8000031,Not found,-22.96865654,0.134055868,Not found,0.430151582,0.661426663,-79.65686035,0.150390625,36.76470566,0.549804688,Not found,Not found,Not found,Not found,-56.27389526,N/A,Not found,N/A,N/A
3,1,1,A,213,214.3007813,1.991999984,-35.56133652,0.599609375,213.5996094,-20.91289902,0,213,Not found,-17.78066826,Not found,Not found,0.623410404,0.267459571,-36.40776825,0.149902344,24.50980377,0.450195313,Not found,Not found,Not found,Not found,-39.90366364,12.16559505,82.19902039,N/A,N/A
3,1,1,A,322,323.3007813,1.991999984,-42.2752037,0.5,322.5,-14.80938244,0,322,Not found,-21.13760185,Not found,Not found,0.336099982,1.411363721,-84.95145416,0.149902344,30.3398056,0.649902344,Not found,Not found,Not found,Not found,-42.89522171,9.182703972,108.9003906,N/A,N/A
3,1,1,A,517.7999878,519.5010986,1.991999984,-42.88555527,0.600585938,518.4005737,-6.26446104,0,517.7999878,Not found,-21.44277763,0.192142278,Not found,0.55737406,4.472653866,-85.78431702,0.150390625,24.50980377,0.349609375,Not found,Not found,Not found,Not found,-53.52220154,5.104629993,195.900589,N/A,N/A
